gndr,yrbrn,cntry,feethngr,rlgatnd,mbtru,hinctnta,edulvlb,cntbrthd,gincdif,fairelc,dfprtal,gptpelc,medcrgv,rghmgpr,cttresa,gvctzpv,grdfinc,viepol,wpestop,votedir,lnghom1,brncntr,mbrncntc,fbrncntc,freehms,hmsacld,lrnobed,loylead,imdfetn,accalaw,dweight...32,rlgdnm,imueclt,region,lrscale,dweight...37,dweight
2,1966,SI,1,2,3,3,313,6666,1,NA,2,6,3,6,10,7,9,8,9,3,SLV,1,6666,6666,5,5,2,5,2,0,1,4,6,SI041,NA,1,1
1,1974,SI,1,4,3,NA,620,6666,2,9,8,9,9,9,10,9,8,8,9,9,SLV,1,6666,6666,4,5,2,2,2,8,1,1,8,SI037,8,1,1
2,1945,SI,1,5,2,4,321,6666,1,10,10,10,9,10,10,10,10,10,10,10,SLV,1,6666,6666,1,2,1,1,3,10,1,1,6,SI041,5,1,1
2,1968,SI,1,5,3,5,213,6666,2,10,NA,10,9,9,10,10,10,10,10,10,SLV,1,6666,6666,2,4,1,1,3,10,1,1,3,SI032,NA,1,1
1,1959,SI,1,5,3,4,321,BA,2,10,10,10,10,10,10,10,10,8,10,10,SLV,2,BA,BA,2,3,1,3,2,10,1,3,4,SI041,0,1,1
2,1956,SI,1,4,2,2,213,6666,1,10,10,8,8,10,10,10,10,3,1,0,SLV,1,6666,6666,2,4,2,4,3,0,1,1,8,SI041,10,1,1
1,1981,SI,1,7,3,2,321,6666,2,10,9,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,2,2,4,2,7,1,NA,7,SI043,1,1,1
1,1981,SI,1,7,3,7,321,6666,1,10,8,10,10,10,10,10,10,10,8,10,SLV,1,6666,6666,1,2,2,2,1,10,1,NA,10,SI037,3,1,1
2,1967,SI,1,6,1,NA,800,6666,2,10,9,8,9,9,9,9,5,6,5,9,SLV,1,6666,6666,2,2,2,4,1,5,1,NA,6,SI042,6,1,1
2,1951,SI,1,5,2,6,313,6666,1,10,10,10,10,10,10,10,10,6,10,8,SLV,1,HR,6666,2,3,2,4,2,1,1,NA,7,SI032,7,1,1
1,1945,SI,1,7,2,4,323,6666,2,10,10,10,10,10,10,10,8,8,6,10,SLV,1,6666,6666,2,2,2,4,2,0,1,1,6,SI042,2,1,1
2,1944,SI,1,3,2,4,323,6666,1,10,NA,10,8,10,10,10,10,10,10,10,SLV,1,6666,6666,3,3,2,2,3,7,1,1,8,SI041,5,1,1
2,1963,SI,1,6,2,10,313,6666,1,10,10,3,8,10,10,10,10,8,10,10,SLV,1,6666,6666,1,2,1,3,2,8,1,1,5,SI032,5,1,1
2,1987,SI,2,7,3,6,620,6666,1,10,10,10,10,10,10,10,10,9,9,6,SLV,1,6666,6666,1,1,5,5,1,0,1,NA,10,SI032,0,1,1
1,1972,SI,1,5,3,2,323,6666,2,10,10,10,10,10,10,8,10,8,5,7,SLV,1,6666,6666,2,4,2,4,3,8,1,1,5,SI032,10,1,1
2,1951,SI,1,4,1,3,321,6666,1,8,8,10,8,8,10,10,10,10,10,8,SLV,1,6666,6666,2,4,2,2,4,10,1,1,0,SI033,10,1,1
2,1982,SI,1,4,3,5,610,6666,1,10,8,10,2,7,10,9,10,7,6,10,SLV,1,6666,6666,3,4,2,2,3,0,1,1,4,SI034,7,1,1
