"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","polintr","trstplt","trstprt","vote","prtvtefr","clsprty","gndr","yrbrn","eduyrs","emplrel","uemp12m","uemp5yr"
"ESS10e02_2",10,"2.2","21.12.2022",10314,"BG",0.96334183,0.9826845,0.21771649,0.21394661,0.00063164544,131,2035,4,0,0,1,,1,2,1969,11,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10318,"BG",4.0255175,2.9029698,0.21771649,0.6320244,0.00012550183,185,2436,2,2,3,1,,1,1,2003,11,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10322,"BG",0.6730855,0.3978443,0.21771649,0.08661727,0.0009040314,179,2349,3,0,0,2,,2,1,1992,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10329,"BG",0.96334183,1.1811572,0.21771649,0.2571574,0.00063164544,131,2034,2,1,0,1,,1,1,1944,7,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10333,"BG",1.0078124,2.9445746,0.21771649,0.6410824,0.0006037736,192,2414,3,2,2,2,,2,1,1977,8,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10340,"BG",0.31502464,0.18620332,0.21771649,0.040539533,0.0019315645,175,2319,4,0,0,2,,2,1,2000,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10368,"BG",0.9741464,0.72633445,0.21771649,0.15813498,0.0006246396,152,2249,2,4,4,1,,1,2,1966,19,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10369,"BG",0.9226444,1.2876103,0.21771649,0.280334,0.00065950706,158,2183,2,6,5,1,,1,1,1966,11,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10379,"BG",0.89738214,2.3019729,0.21771649,0.50117743,0.00067807286,148,2106,3,4,5,2,,2,1,1964,10,7,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10380,"BG",2.8352218,1.2978648,0.21771649,0.28256655,0.00021461828,175,2303,3,3,3,1,,1,2,1962,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10393,"BG",0.94507396,0.41685954,0.21771649,0.09075719,0.00064385484,175,2315,2,6,8,1,,1,2,1977,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10394,"BG",0.7145675,1.0126942,0.21771649,0.22048023,0.0008515508,174,2391,4,2,3,3,,2,2,2006,8,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10397,"BG",0.18901479,0.0708084,0.21771649,0.0154161565,0.0032192743,175,2262,2,0,0,1,,1,1,1981,16,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10398,"BG",1.120269,0.7184019,0.21771649,0.15640794,0.0005431646,166,2211,3,0,0,1,,1,2,1980,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10401,"BG",0.9741464,1.5901743,0.21771649,0.34620717,0.0006246396,152,2204,3,0,0,2,,2,2,1998,12,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10402,"BG",0.26108044,0.2679206,0.21771649,0.058330733,0.0023306627,160,2189,4,3,2,1,,2,2,1999,12,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10404,"BG",1.3381389,1.1170036,0.21771649,0.24319008,0.0004547289,196,2456,4,0,0,2,,2,1,1978,11,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10421,"BG",0.31502464,0.18331197,0.21771649,0.039910037,0.0019315645,175,2254,2,0,1,1,,1,1,1994,18,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10445,"BG",1.861498,2.5978415,0.21771649,0.56559294,0.00032688215,156,2148,2,3,5,1,,1,1,1948,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10454,"BG",0.930749,1.3634951,0.21771649,0.29685536,0.0006537643,156,2155,4,2,3,2,,2,2,1983,19,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10460,"BG",1.2513268,0.7455742,0.21771649,0.16232379,0.0004862762,143,2077,2,2,3,1,,1,1,1949,14,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10465,"BG",0.22434555,0.47879156,0.21771649,0.10424081,0.0027122912,148,2102,2,0,0,1,,1,2,1980,12,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10466,"BG",0.9995787,0.6410061,0.21771649,0.1395576,0.00060874695,161,2190,3,5,5,1,,2,2,1981,12,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10470,"BG",2.9217684,1.3026451,0.21771649,0.2836073,0.00020826102,180,2356,1,5,5,1,,1,1,1955,16,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10478,"BG",0.31502464,0.118014045,0.21771649,0.025693603,0.0019315645,175,2320,2,0,0,1,,2,1,1974,18,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10482,"BG",0.23268725,0.4496929,0.21771649,0.09790556,0.0026150572,156,2148,3,2,3,1,,1,1,1989,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10484,"BG",1.0106266,0.77898604,0.21771649,0.1695981,0.0006020923,167,2216,3,8,5,2,,2,1,1954,4,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10485,"BG",0.48682278,1.0782473,0.21771649,0.23475221,0.0012499219,187,2388,3,1,0,2,,2,2,1962,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10486,"BG",1.8050679,2.3968196,0.21771649,0.52182716,0.00033710114,163,2292,2,2,2,2,,2,1,1982,12,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10489,"BG",2.6921465,3.9999986,0.21771649,0.87086564,0.00022602428,148,2101,3,3,3,2,,1,2,1972,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10490,"BG",0.47253698,0.15234853,0.21771649,0.033168785,0.0012877097,175,2263,2,7,7,1,,1,2,1951,16,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10494,"BG",1.3913743,2.7313926,0.21771649,0.5946692,0.00043733054,119,2427,4,2,2,1,,2,1,1988,13,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10501,"BG",0.30573475,0.45271215,0.21771649,0.098562896,0.0019902561,177,2333,2,1,1,2,,2,1,1934,14,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10502,"BG",0.94507396,0.43262166,0.21771649,0.09418887,0.00064385484,175,2308,2,0,3,2,,1,2,1965,11,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10508,"BG",0.9061184,3.802027,0.21771649,0.8277639,0.0006715353,141,2049,4,0,2,1,,1,1,1985,4,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10516,"BG",1.3758065,0.78993106,0.21771649,0.171981,0.00044227912,177,2332,2,0,0,1,,1,1,1969,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10526,"BG",0.9696918,0.9950977,0.21771649,0.21664917,0.00062750914,185,2448,3,2,2,1,,1,2,1988,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10528,"BG",0.930749,1.8271438,0.21771649,0.3977993,0.0006537643,156,2144,2,2,0,1,,1,1,2001,13,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10542,"BG",1.8901479,0.60939413,0.21771649,0.13267514,0.00032192742,175,2294,2,2,2,1,,2,2,1941,16,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10546,"BG",0.9696918,0.8332934,0.21771649,0.1814217,0.00062750914,185,2443,4,0,0,2,,2,1,1996,12,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10557,"BG",0.9739228,0.3498805,0.21771649,0.07617475,0.00062478305,180,2357,2,0,0,2,,2,2,1984,15,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10558,"BG",0.4848459,0.49754885,0.21771649,0.10832459,0.0012550183,185,2433,4,0,0,2,,2,2,1992,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10561,"BG",0.19048657,0.28960356,0.21771649,0.06305147,0.003194401,157,2167,2,3,4,1,,2,2,1942,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10566,"BG",3.8805466,1.7116573,0.21771649,0.37265602,0.00015680536,168,2221,4,0,0,2,,2,2,1982,12,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10567,"BG",0.51072633,0.28680137,0.21771649,0.062441386,0.0011914218,126,2015,3,6,5,1,,2,1,1960,12,6,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10572,"BG",0.38594267,0.52347744,0.21771649,0.11396967,0.0015766342,195,2454,4,2,2,1,,1,2,1974,8,1,1,2
"ESS10e02_2",10,"2.2","21.12.2022",10573,"BG",0.47253698,0.15234853,0.21771649,0.033168785,0.0012877097,175,2284,3,3,3,1,,8,2,1959,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10574,"BG",0.36688173,0.21685477,0.21771649,0.047212858,0.0016585467,177,2334,2,1,0,1,,1,1,1990,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10575,"BG",0.6150963,1.2074889,0.21771649,0.26289025,0.0009892605,158,2180,1,2,1,1,,1,1,1993,12,6,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10579,"BG",0.93091434,0.5687009,0.21771649,0.12381556,0.00065364817,129,2028,3,0,0,2,,2,1,1949,12,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10581,"BG",0.9061184,1.3776048,0.21771649,0.2999273,0.0006715353,141,2104,4,0,0,2,,2,2,1958,11,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10586,"BG",1.8901479,0.6790332,0.21771649,0.14783673,0.00032192742,175,2252,2,0,0,1,,1,2,1985,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10598,"BG",0.94507396,0.41685954,0.21771649,0.09075719,0.00064385484,175,2306,4,5,4,2,,2,2,1985,12,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10601,"BG",1.8344086,1.0532413,0.21771649,0.22930798,0.00033170934,177,2332,2,5,5,1,,1,1,1981,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10626,"BG",0.6569306,1.6851642,0.21771649,0.36688802,0.0009262629,135,2050,4,0,0,2,,2,1,1955,10,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10629,"BG",2.89457,1.7683098,0.21771649,0.3849902,0.0002102179,195,2452,2,0,0,1,,1,1,1964,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10632,"BG",1.4545376,1.2499406,0.21771649,0.27213266,0.00041833942,185,2445,4,0,0,1,,1,1,1995,11,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10638,"BG",0.22501379,0.4853941,0.21771649,0.1056783,0.0027042362,188,2398,2,2,2,2,,2,1,1950,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10644,"BG",0.45860216,0.17180076,0.21771649,0.03740386,0.0013268373,177,2332,2,0,0,1,,1,1,1984,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10648,"BG",1.1813425,0.8770209,0.21771649,0.1909419,0.0005150839,175,2329,3,5,2,1,,1,2,1961,8,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10651,"BG",0.94507396,0.35404202,0.21771649,0.077080786,0.00064385484,175,2251,3,0,0,2,,2,1,1985,16,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10660,"BG",0.88894117,0.40692595,0.21771649,0.08859449,0.0006845115,182,2378,2,0,0,2,,1,2,1952,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10664,"BG",0.31030476,0.2065153,0.21771649,0.044961784,0.0019609446,129,2031,3,1,0,2,,2,2,1949,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10680,"BG",0.31024966,0.33220875,0.21771649,0.07232732,0.001961293,156,2141,2,4,4,1,,2,2,1950,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10684,"BG",1.8901479,1.0852444,0.21771649,0.2362756,0.00032192742,175,2310,3,0,0,2,,2,1,1969,11,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10687,"BG",1.174517,2.1288917,0.21771649,0.4634948,0.00051807717,147,2097,4,0,0,1,,2,1,1975,14,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10699,"BG",0.94507396,1.1939842,0.21771649,0.25995004,0.00064385484,175,2290,3,0,0,2,,2,1,1967,8,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10703,"BG",1.8452889,3.249221,0.21771649,0.70740896,0.0003297535,158,2174,2,0,0,1,,2,1,1946,8,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10722,"BG",0.5473879,0.5319342,0.21771649,0.11581084,0.0011116258,132,2039,3,0,0,1,,1,1,1961,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10735,"BG",1.417611,0.813933,0.21771649,0.17720664,0.00042923656,175,2294,4,3,2,2,,2,1,1984,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10745,"BG",0.7498515,0.44201702,0.21771649,0.09623439,0.00081148127,122,2476,2,5,5,1,,1,2,1986,12,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10757,"BG",0.46545717,0.28435045,0.21771649,0.06190778,0.0013072965,129,2031,2,2,0,1,,1,1,1950,13,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10759,"BG",1.9482929,2.7611444,0.21771649,0.60114664,0.0003123198,152,2193,4,88,88,1,,2,2,1995,8,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10766,"BG",0.47253698,0.15234853,0.21771649,0.033168785,0.0012877097,175,2290,4,4,3,1,,1,2,1965,14,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10782,"BG",0.89744735,0.37710458,0.21771649,0.08210188,0.00067802356,179,2350,2,5,5,1,,1,1,1953,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10784,"BG",0.5180662,0.31693316,0.21771649,0.06900157,0.0011745418,140,2070,1,7,7,1,,1,2,1945,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10793,"BG",0.94507396,1.3994044,0.21771649,0.3046734,0.00064385484,175,2245,2,4,5,1,,2,1,1952,16,1,6,6
